Name,Key passes,Total passes,Acc. passes,Accurate opposition half passes,Accurate final third passes,Inaccurate passes,Big chances created,Accurate own half passes,Tackles,Interceptions,Total duels won,Possession lost,Dispossessed,Was fouled,Succ. dribbles,Total shots,Shots on target,Minutes,90s,keypasses,total_passes,acc_passes,Accurate opposition half passes,Accurate final third passes,Inaccurate passes,Big chances created,Accurate own half passes,Tackles,Interceptions,Total duels won,Possession lost,Dispossessed,Was fouled,Succ. dribbles,Total shots,Shots on target
Edu Garcia,16,309,226,162,77,83,1,74,9,4,43,152,9,18,11,15,5,357,3.97,4.0302267,77.83375315,56.92695214,40.80604534,19.39546599,20.90680101,0.251889169,18.63979849,2.267002519,1.007556675,10.83123426,38.28715365,2.267002519,4.534005038,2.770780856,3.778337531,1.259445844
Carl McHugh,20,698,501,239,119,197,1,262,43,22,112,237,8,17,4,14,3,412,4.58,4.366812227,152.4017467,109.3886463,52.18340611,25.98253275,43.01310044,0.218340611,57.20524017,9.388646288,4.80349345,24.45414847,51.74672489,1.746724891,3.711790393,0.873362445,3.056768559,0.655021834
Javi Hernández,12,194,134,92,46,60,2,57,11,12,60,140,18,27,9,19,6,425,4.72,2.542372881,41.10169492,28.38983051,19.49152542,9.745762712,12.71186441,0.423728814,12.07627119,2.330508475,2.542372881,12.71186441,29.66101695,3.813559322,5.720338983,1.906779661,4.025423729,1.271186441
Prabir Das,10,242,149,90,44,93,0,64,11,11,43,182,6,13,10,12,4,434,4.82,2.074688797,50.20746888,30.91286307,18.67219917,9.128630705,19.29460581,0,13.2780083,2.282157676,2.282157676,8.921161826,37.7593361,1.244813278,2.697095436,2.074688797,2.489626556,0.829875519
Lenny Rodrigues,2,643,521,244,78,122,0,278,20,17,46,157,8,9,3,9,1,463,5.14,0.389105058,125.0972763,101.3618677,47.47081712,15.17509728,23.73540856,0,54.08560311,3.891050584,3.307392996,8.949416342,30.54474708,1.556420233,1.750972763,0.583657588,1.750972763,0.194552529
Pronay Halder,10,309,227,129,67,82,1,99,8,9,41,99,7,13,5,6,1,475,5.28,1.893939394,58.52272727,42.99242424,24.43181818,12.68939394,15.53030303,0.189393939,18.75,1.515151515,1.704545455,7.765151515,18.75,1.325757576,2.462121212,0.946969697,1.136363636,0.189393939
Jayesh Rane,4,151,112,68,35,39,0,44,12,4,19,64,4,3,3,6,1,480,5.33,0.750469043,28.33020638,21.01313321,12.75797373,6.566604128,7.317073171,0,8.255159475,2.251407129,0.750469043,3.564727955,12.00750469,0.750469043,0.562851782,0.562851782,1.125703565,0.187617261
Federico Gallego,45,446,305,230,142,141,14,96,15,3,75,247,18,29,16,29,8,506,5.62,8.007117438,79.3594306,54.27046263,40.9252669,25.26690391,25.08896797,2.491103203,17.08185053,2.669039146,0.533807829,13.34519573,43.95017794,3.202846975,5.160142349,2.846975089,5.160142349,1.423487544
Ahmed Jahouh,32,1222,953,421,189,269,9,541,60,19,115,317,9,21,11,23,8,576,6.4,5,190.9375,148.90625,65.78125,29.53125,42.03125,1.40625,84.53125,9.375,2.96875,17.96875,49.53125,1.40625,3.28125,1.71875,3.59375,1.25
Hugo Boumous,28,624,511,315,191,113,5,203,11,6,74,196,21,28,30,22,8,608,6.76,4.142011834,92.30769231,75.59171598,46.59763314,28.25443787,16.71597633,0.73964497,30.0295858,1.627218935,0.887573964,10.94674556,28.99408284,3.106508876,4.142011834,4.437869822,3.25443787,1.183431953
