Name,Goals,Penalty goals,Free kick goals,Headed goals,Left foot goals,Right foot goals,Hit woodwork,Shots on target,Shots off target,Shots from set piece,Penalty won,Goals from inside the box,Big chances missed,Total shots,Penalty won,Succ. dribbles,Accurate final third passes,Passes to assist,Key passes,Assists,Big chances created,Minutes played,Was fouled
Aridane,10,1,0,3,3,4,2,24,21,0,0,10,2,52,0,4,126,1,20,2,5,1597,40
Roy Krishna,14,4,0,1,5,8,0,24,21,0,2,13,1,57,2,22,86,0,20,4,1,1791,37
Cleiton Silva,7,0,0,2,1,4,4,11,16,4,2,7,1,34,2,17,127,0,32,4,3,1561,27
Bright Enobakhare,3,0,0,0,0,3,0,5,5,2,0,3,0,16,0,56,89,0,9,1,1,936,51
Diego Mauricio,12,1,1,0,0,12,5,20,15,5,0,8,2,53,0,14,129,0,24,2,4,1610,28
Jordan Murray,7,0,0,0,2,5,2,24,20,0,0,7,4,53,0,9,116,0,26,1,4,1319,20
Jorge Ortiz,6,0,1,0,0,6,4,28,21,6,0,4,3,67,0,45,224,0,29,2,1,1459,60
Igor Angulo,13,2,0,2,8,2,1,23,17,0,0,13,3,51,0,4,57,0,5,0,0,1537,12
Sunil Chhetri,8,2,0,4,1,3,2,22,24,3,0,8,7,58,0,18,110,0,20,2,2,1789,21
Gary Hooper,5,2,0,0,0,5,1,10,10,0,0,4,4,25,0,21,126,0,24,4,8,1387,16
Luís Machado,7,1,0,1,1,4,1,18,14,4,1,7,3,45,1,27,86,0,23,1,5,1463,53
Nerijus Valskis,8,1,1,3,2,3,3,21,13,5,0,7,8,43,0,6,132,0,8,0,0,1555,35
Anthony Pilkington,3,0,0,1,0,2,2,18,20,5,0,3,3,55,0,18,139,0,13,3,1,1373,29
David Williams,3,0,0,1,0,2,1,7,13,2,0,2,1,28,0,6,82,0,12,2,0,1173,27
Adam Le Fondre,11,4,0,2,0,9,0,18,16,0,1,11,9,40,1,5,95,0,7,1,2,1374,29
Fran Sandaza,4,1,0,0,1,3,0,9,1,0,0,4,1,11,0,8,28,0,3,2,1,344,13
Bartholomew Ogbeche,8,1,0,5,0,3,2,11,18,0,0,8,2,38,0,5,65,0,9,2,0,838,12
Liston Colaco,2,0,0,0,1,1,0,9,17,7,0,2,1,34,0,16,89,0,13,3,4,954,41
Jakub Sylvestr,2,0,0,0,1,1,1,11,16,0,1,2,7,34,1,10,102,0,29,3,3,1200,35
Manuel Onwu,0,0,0,0,0,0,1,7,13,0,0,0,3,23,0,13,68,0,15,2,1,1321,42
Idrissa Sylla,2,1,0,0,2,0,0,9,12,1,2,2,5,25,2,4,38,0,9,0,1,807,22
Manvir Singh,5,0,0,0,2,3,1,12,8,0,0,5,0,26,0,14,90,0,12,2,2,1220,10
Marcelinho,2,0,1,0,2,0,0,8,11,5,0,1,1,29,0,3,61,0,9,0,0,770,11
Farukh Choudhary,0,0,0,0,0,0,1,3,11,0,0,0,2,20,0,5,64,0,9,1,0,866,24
Deshorn Brown,5,0,0,0,0,5,1,16,11,0,0,5,10,31,0,11,42,1,11,1,3,976,16
V.P. Suhair,2,0,0,0,1,1,0,6,9,0,0,2,3,21,0,12,58,0,15,1,3,1078,17
Kristian Opseth,0,0,0,0,0,0,0,6,11,5,1,0,1,22,1,5,39,0,9,1,1,734,9
Aaron Amadi Holloway,2,0,0,1,0,1,0,3,2,0,0,1,1,8,0,12,44,0,6,0,0,448,13
Joel Chianese,3,0,0,0,0,3,0,10,2,0,1,3,5,14,1,8,56,0,8,1,2,839,18
Udanta Singh Kumam,1,0,0,0,0,1,0,5,3,0,0,1,1,12,0,5,69,1,7,1,2,1100,23
Devendra Dhaku Murgaokar,1,0,0,1,0,0,0,3,1,0,0,1,0,5,0,0,11,0,5,0,0,323,6
Daniel Lalhlimpuia,0,0,0,0,0,0,1,5,9,0,0,0,1,16,0,8,56,0,7,2,1,684,10
Esmael Goncalves,4,3,0,0,0,4,0,10,4,0,0,4,2,21,0,18,73,0,12,1,1,877,17
Rahim Ali,2,0,0,0,0,2,1,4,9,0,0,2,2,17,0,11,59,0,10,0,1,1044,14
William Lalnunfela,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,8,29,0,8,1,0,543,12
Aniket Jadhav,1,0,0,0,0,1,2,2,3,0,0,1,1,8,0,12,18,0,2,0,2,642,14
Ninthoinganba Meetei,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,13,32,0,8,0,0,708,5
